Comment,Designator,Footprint,LCSC Part #
,J1,ML10L,
1N4148T4,D1 D2 D3 D6 D7 D8 D9,SOD123,
1k,RN6,0603-ARC,
1k,R2 R16 R19 R22 R24 R27,R0805,
1k5,R1 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15,R0805,
3V3,U$3,SOT223,
4k7,R20 R21,R0805,
5V,U$2,SOT223,
5V1,D5,SOD80C,
5k,R17,R0805,
7SEG-5463,DS2,5643,
10k,RN1 RN2 RN3,0603-ARC,
10k,R18,TRIM_3386P-1-101T,
74HCT595D,IC4 IC5 IC6,SO16,
74LS08D,IC2,SO14,
74LS148D,IC3,SO16,
75,R29 R30 R31 R32 R33 R34 R35 R36,R0603,
100k,R23,R0805,
100n,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12,C0805,
330,R25 R26 R28,R0805,
AO3404,Q2 Q3,SOT23,
BLOWER,TB3,MSTBA2,
BLUE,LED2 LED8 LED12,CHIPLED_1206,
BUZZER-PTH_KIT,LS1,BUZZER-12MM-KIT,
C/F,SW10,PUSH_BUTTON_2P,
CHILLER,TB4,MSTBA2,
CR1220,B1,CR1220,
DHT11,U$1,DHT11,
DS3231",IC9,SO16W,
EC2,K1 K2 K3,EC2,
F_COOL,SW8,PUSH_BUTTON_2P,
F_HEAT,SW9,PUSH_BUTTON_2P,
GREEN,LED1 LED7 LED9 LED10 LED11 LED13 LED14 LED15 LED16 LED17 LED18,CHIPLED_1206,
HEATER,TB2,MSTBA2,
HEATING,SW7,PUSH_BUTTON_2P,
JUMPER-SMT_2_NC_PASTE_SILK,JP3 JP4 JP5 JP8 JP9 JP10,SMT-JUMPER_2_NC_PASTE_SILK,
MMBT3904,T1 T2 T3 T4 T5 T6 T7 T8 T9,SOT23-BEC,
MODE,SW1,PUSH_BUTTON_2P,
ON/OFF,SW12,PUSH_BUTTON_2P,
RED,LED3,CHIPLED_1206,
RST,SW13,PUSH_BUTTON_2P,
SET,SW11,PUSH_BUTTON_2P,
SPEED,SW2,PUSH_BUTTON_2P,
SS34,D4,SMA,
STM32F103C8T6-MODULE-SYS,IC1,STM32F103C8T6-MODULE-SYS,
SUPPLY,TB1,MSTBA2,
SWEEP,SW3,PUSH_BUTTON_2P,
TEMP_DOWN,SW6,PUSH_BUTTON_2P,
TEMP_UP,SW5,PUSH_BUTTON_2P,
TIMER,SW4,PUSH_BUTTON_2P,
WHITE,LED4 LED5 LED6,CHIPLED_1206,
