Designator,Mid X,Mid Y,Layer,Rotation
B1,90.41,36.91,Bottom,90.0
C1,36.91,62.47,Bottom,180.0
C2,37.23,42.31,Bottom,180.0
C3,90.65,79.69,Bottom,180.0
C4,18.73,89.14,Bottom,270.0
C5,93.11,73.26,Bottom,270.0
C6,23.89,23.18,Bottom,270.0
C7,36.59,24.45,Bottom,270.0
C8,92.79,60.48,Bottom,180.0
C9,23.65,38.73,Bottom,90.0
C10,23.50,31.43,Bottom,90.0
C11,17.78,42.86,Bottom,180.0
C12,95.01,45.48,Bottom,180.0
D1,77.47,35.48,Bottom,0.0
D2,63.50,35.48,Bottom,0.0
D3,77.47,48.42,Bottom,0.0
D4,15.08,50.64,Bottom,90.0
D5,20.96,50.64,Bottom,270.0
D6,76.99,20.72,Bottom,90.0
D7,31.75,16.99,Bottom,270.0
D8,62.23,16.99,Bottom,270.0
D9,90.01,16.99,Bottom,270.0
DS2,49.53,87.00,Top,0.0
IC1,48.26,83.50,Bottom,180.0
IC2,39.05,56.44,Bottom,270.0
IC3,39.05,35.40,Bottom,270.0
IC4,86.28,87.07,Bottom,90.0
IC5,12.07,87.00,Bottom,0.0
IC6,86.36,71.12,Bottom,0.0
IC9,90.41,52.94,Bottom,270.0
J1,11.11,67.31,Bottom,270.0
JP3, 2.22,67.31,Top,90.0
JP4, 2.22,69.85,Top,90.0
JP5, 2.22,72.39,Top,90.0
JP8, 4.76,67.31,Top,90.0
JP9, 4.76,69.85,Top,90.0
JP10, 4.76,72.39,Top,90.0
K1,19.05, 7.62,Bottom,90.0
K2,80.01, 7.62,Bottom,90.0
K3,49.53, 7.62,Bottom,90.0
LED1, 6.35,94.30,Top,270.0
LED2,17.46,94.30,Top,270.0
LED3,17.46,79.69,Top,270.0
LED4, 6.35,79.69,Top,270.0
LED5,86.36,79.69,Top,270.0
LED6,86.36,94.30,Top,270.0
LED7,35.24,67.31,Top,180.0
LED8,31.43,67.31,Top,180.0
LED9,42.86,67.31,Top,180.0
LED10,39.05,67.31,Top,180.0
LED11,60.01,67.31,Top,180.0
LED12,56.20,67.31,Top,180.0
LED13,67.63,67.31,Top,180.0
LED14,63.82,67.31,Top,180.0
LED15,77.47,64.14,Top,90.0
LED16,93.34,24.77,Top,90.0
LED17,93.34,21.59,Top,90.0
LED18,93.34,18.41,Top,90.0
LS1,80.01,21.59,Top,270.0
Q2,21.59,59.53,Bottom,0.0
Q3,16.03,59.53,Bottom,0.0
R1, 6.35,94.30,Bottom,0.0
R2,70.48,47.31,Bottom,0.0
R3,17.46,94.30,Bottom,0.0
R4,17.46,79.69,Bottom,0.0
R5, 6.35,79.69,Bottom,0.0
R6,86.36,79.69,Bottom,0.0
R7,86.36,94.30,Bottom,0.0
R8,31.43,67.31,Bottom,90.0
R9,35.24,67.31,Bottom,90.0
R10,42.86,67.31,Bottom,90.0
R11,39.05,67.31,Bottom,90.0
R12,56.20,67.31,Bottom,90.0
R13,60.01,67.31,Bottom,90.0
R14,67.63,67.31,Bottom,90.0
R15,63.82,67.31,Bottom,90.0
R16,77.47,64.14,Bottom,180.0
R17,41.51,24.45,Bottom,270.0
R18,19.05,21.59,Top,180.0
R19,74.14,25.96,Bottom,270.0
R20,81.36,55.96,Bottom,0.0
R21,81.36,53.82,Bottom,0.0
R22,26.04,16.99,Bottom,270.0
R23,18.57,50.64,Bottom,90.0
R24,56.67,16.99,Bottom,270.0
R25,93.34,21.59,Bottom,180.0
R26,93.34,24.77,Bottom,180.0
R27,84.38,16.99,Bottom,270.0
R28,93.34,18.41,Bottom,180.0
R29,78.74,93.98,Bottom,0.0
R30,78.74,91.92,Bottom,0.0
R31,78.74,89.85,Bottom,0.0
R32,78.74,87.79,Bottom,0.0
R33,78.74,85.73,Bottom,0.0
R34,78.74,83.66,Bottom,0.0
R35,78.66,81.60,Bottom,0.0
R36,78.66,79.53,Bottom,0.0
RN1,28.58,45.72,Bottom,180.0
RN2,56.52,45.72,Bottom,0.0
RN3,70.48,39.37,Bottom,180.0
RN6,52.07,87.63,Bottom,0.0
SW1,28.58,58.42,Top,0.0
SW2,35.56,45.72,Top,180.0
SW3,21.59,45.72,Top,0.0
SW4,28.58,33.02,Top,0.0
SW5,49.53,52.07,Top,0.0
SW6,49.53,39.37,Top,0.0
SW7,63.50,58.42,Top,180.0
SW8,63.50,45.72,Top,180.0
SW9,77.47,45.72,Top,0.0
SW10,63.50,33.02,Top,0.0
SW11,77.47,33.02,Top,0.0
SW12,77.47,58.42,Top,0.0
SW13,66.04,21.59,Top,180.0
T1,70.48,44.45,Bottom,270.0
T2,43.18,87.63,Bottom,90.0
T3,47.63,87.63,Bottom,90.0
T4,56.44,87.63,Bottom,90.0
T5,60.96,87.63,Bottom,270.0
T6,76.99,25.96,Bottom,180.0
T7,28.89,16.99,Bottom,180.0
T8,59.37,16.99,Bottom,180.0
T9,87.15,16.99,Bottom,180.0
TB1, 5.08,50.80,Bottom,90.0
TB2, 5.08,20.32,Bottom,90.0
TB3, 5.08,40.64,Bottom,90.0
TB4, 5.08,30.48,Bottom,90.0
U$1,39.05,21.59,Top,270.0
U$2,17.78,30.48,Bottom,270.0
U$3,17.78,37.78,Bottom,270.0
